X,Y,Z                    Magnitude
-2.44E-19,-0.003333088799,0.006396775720775241     274.03664301947975
-9.81E-20,-0.003332588047,0.006397528696005216     274.06156500679265
0,-0.02,0                        163.38790828595236
2.64E-19,-0.003332110662,0.038303786387573494     3.3189541577153427
-2.84E-20,-0.003329606904,0.03830383425404949      3.3193188142103014
2.64E-19,-0.003332110662,0.03830006937849957      8.052658084812128
6.01E-19,-0.006665858309,0.038222462181551606     6.719473733551843
-4.83E-20,-0.006664118926,0.038222496332067694     6.718964497043378
6.01E-19,-0.006665858309,0.03821981026754392      14.058403923733083
8.51E-20,-0.009999496205,0.03814113529757563      9.907847428569479
3.32E-19,-0.009998343909,0.038141158410085904     9.90734390413423
8.51E-20,-0.009999496205,0.038139340525584764     25.637555080274698
1.81E-19,-0.01333305363,0.03805980645017244      12.805202947588281
8.05E-20,-0.01333236592,0.03805982048810411      12.804705716128995
1.81E-19,-0.01333305363,0.03805871635280669      38.872779411948564
2.07E-19,-0.01666655031,0.037978476120432286     15.866315602734055
3.86E-19,-0.01666623913,0.037978482566122324     15.865959135666952
2.07E-19,-0.01666655031,0.037977975588737535     53.70317418905819
-2.80E-20,-0.003329606904,0.038299603535172595     8.058149750000272
-4.81E-20,-0.006664118926,0.0382195223747803       14.056413522839279
3.32E-19,-0.009998343909,0.03813916926578975      25.63551765547626
8.05E-20,-0.01333236592,0.03805862386010125      38.87140343717758
3.86E-19,-0.01666623913,0.03797793747040102      53.70238018460759
0,-0.02,0.037897144644140526     39.385939457957846
2.64E-19,-0.003332110662,0.03198759561355008      17.698688731862937
3.02E-19,-0.006665858309,0.025590080633499906     23.17310810986548
2.83E-19,-0.009999496205,0.019192562975499438     42.74606768949892
1.24E-19,-0.01333305363,0.012795043354073837     68.18174259773735
-1.36E-19,-0.01666655031,0.006397522250312415     96.64551225892974
-4.81E-20,-0.006664118926,0.03190630555804427      13.27707315659044
3.02E-19,-0.006665858309,0.03190361949313875      13.277723266774338
6.02E-19,-0.006665858309,0.03190627140752818      13.27952625251525
5.26E-19,-0.009998343909,0.025508776862039062     14.286681219797515
2.83E-19,-0.009999496205,0.02550695897707165      14.288754127431769
4.24E-19,-0.009999496205,0.025508753749525822     14.289714703268357
3.45E-19,-0.01333236592,0.019111248166033847     17.85307014792118
1.24E-19,-0.01333305363,0.01911014403034941      17.855121013892514
-7.26E-20,-0.01333305363,0.019111234128098897     17.8551925515383
8.58E-20,-0.01666623913,0.012713719470028636     28.28181172876564
-1.36E-19,-0.01666655031,0.012713212492426258     28.283167205528404
4.04E-19,-0.01666655031,0.012713713024336526     28.282063453614754
3.32E-19,-0.009998343909,0.03182496763606248      8.416627606784926
4.24E-19,-0.009999496205,0.03182314975132821      8.418127967595941
8.53E-20,-0.009999496205,0.0318249445235522       8.418024513182983
1.98E-19,-0.01333236592,0.025427438940057275     18.766713527197133
-7.24E-20,-0.01333305363,0.025426334804501845     18.768210888040617
3.29E-19,-0.01333305363,0.025427424902123966     18.768089218726544
1.73E-19,-0.01666623913,0.019029910244052057     24.55571712148357
4.04E-19,-0.01666655031,0.01902940326650408      24.555906782271617
3.28E-19,-0.01666655031,0.01902990379836064      24.55722120623884
8.07E-20,-0.01333236592,0.03174362971408069      15.130456767402098
3.29E-19,-0.01333305363,0.03174252557865427      15.131840094315626
1.81E-19,-0.01333305363,0.03174361567614902      15.131413673147165
2.74E-19,-0.01666623913,0.025346101018075485     30.882482502829422
3.28E-19,-0.01666655031,0.025345594040581905     30.884092070307613
2.62E-19,-0.01666655031,0.025346094572384757     30.88287329407327
3.86E-19,-0.01666623913,0.0316622917920989       31.74957233290398
2.62E-19,-0.01666655031,0.03166178481465971      31.750182472770646
2.07E-19,-0.01666655031,0.031662285346408865     31.75032424753918
5.42E-20,-0.006664118926,0.031903331600282886     13.284910465883131
3.01E-19,-0.009998343909,0.025506787717177456     14.297683342999795
-2.12E-21,-0.01333236592,0.019110051537570557     17.863360005123074
1.02E-20,-0.01666623913,0.012713174374052554     28.288116039760542
5.26E-19,-0.009998343909,0.03182297849148361      8.415275225744367
3.45E-19,-0.01333236592,0.02542624231174746      18.766073082535588
8.57E-20,-0.01666623913,0.019029365148139667     24.555681349506205
1.98E-19,-0.01333236592,0.03174243308592436      15.130525743380886
1.74E-19,-0.01666623913,0.02534555592222679      30.882543342614397
2.73E-19,-0.01666623913,0.03166174669631391      31.749785561720973
4.83E-22,-0.02,0.006316190774023429     44.239734009197065
7.44E-23,-0.02,0.012632381548046846     27.19574532611419
0,-0.02,0.018948572322070263     47.00550867095993
3.72E-22,-0.02,0.02526476309609369      47.32399447629228
5.58E-22,-0.02,0.03158095387011712      53.405862744393964
2.64E-19,-0.003332110662,0.0383098775292424       2.6202575907684644
-2.92E-20,-0.003329606904,0.03831076722287683      2.620338723571291
6.01E-19,-0.006665858309,0.03822680792932711      3.4952588583394286
-4.87E-20,-0.006664118926,0.03822736981900155      3.4947587499989345
8.49E-20,-0.009999496205,0.038144076428533964     4.392778736562226
3.31E-19,-0.009998343909,0.038144418063066766     4.392467798955355
1.81E-19,-0.01333305363,0.03806159281586475      5.404434044206799
8.04E-20,-0.01333236592,0.03806178142781273      5.404240680214059
2.07E-19,-0.01666655031,0.037979296352345066     6.672700704837776
3.86E-19,-0.01666623913,0.037979375826051355     6.672592525639265
1.48E-19,1.79E-06,0.03839342525476308      2.0131102276672275
0,0,0.09999999999999999      0.24566893844936422
2.17E-19,0.002635299527,0.09453351112577749      0.24900419508978344
0,2.99E-07,0.08973086202933855      0.2599215481295628
-1.70E-19,5.97E-07,0.07946447508492104      0.2726887573879518
-2.16E-19,0.005173888069,0.08973086202933853      0.28485060847721544
-3.17E-19,0.00517423465,0.08973017413456609      0.284843239728651
1.49E-20,5.97E-07,0.0794617240586771       0.27268533490748503
-2.90E-19,5.98E-07,0.07945897229525606      0.2726783452043108
-2.17E-19,0.002204820632,0.0739939482454588       0.23365522919812837
0,8.96E-07,0.06919258608801564      0.22110733883910388
1.91E-21,1.19E-06,0.05892895016984207      0.29040677821986083
9.23E-20,0.004252994557,0.06919258608801564      0.24694178013742193
-2.12E-19,0.004253849347,0.06919052240369834      0.24701746884888212
7.43E-19,1.19E-06,0.0589234481173542       0.290483431102128
1.32E-19,1.20E-06,0.058917944590512125     0.29065763573792125
0,0.001774572448,0.053454385365140106     0.5707156786884655
0,1.49E-06,0.04865431014669275      0.6890354555968761
-8.67E-19,0.010348565,0.09999999999999999      0.1727372584755797
3.04E-19,0.005174581238,0.08973086202933853      0.2848417923108958
-1.57E-19,0.005174635372,0.08973207068437711      0.2848474411583608
-1.65E-19,0.005174527091,0.08972965308972086      0.28484177205165884
0,0.006936324231,0.08430177103092716      0.23522130333841532
0,0.004714642685,0.07946172405867709      0.2575826068371024
-5.04E-20,0.004254866533,0.06919621205313138      0.24695932199536413
2.62E-20,0.008507320214,0.07946172405867706      0.24920637253812455
8.59E-20,0.008507712592,0.07946051519021673      0.2492300950765849
7.01E-20,0.004254704131,0.06919258608801564      0.24699450690594071
-7.31E-20,0.004254541692,0.06918895926916263      0.24702077302176356
0,0.005582188326,0.06376235536132635      0.3753755121899289
0,0.003794765578,0.05892344811735419      0.4022952194889071
-4.34E-19,0.01166418241,0.0946016520801812       0.2203031410069245
4.34E-19,0.009428389154,0.08973086202933853      0.20312574627366825
1.72E-19,0.008508406482,0.07946387985730677      0.24919325493334904
-4.98E-20,0.01276137257,0.08973086202933854      0.2078515864417817
-5.53E-19,0.01276149922,0.08973032299481153      0.20787376784073347
1.71E-19,0.008508213309,0.07946172405867706      0.24924195528347962
-2.18E-19,0.008508020097,0.07945956780738582      0.2492304535557918
-4.34E-19,0.009386859478,0.07406235339991306      0.33848187006895014
-4.34E-19,0.007588037465,0.06919258608801564      0.34280550973758295
-8.67E-19,0.01701523167,0.1                      0.5414732425157931
-3.86E-19,0.01276172249,0.08973086202933854      0.20788805755634937
3.84E-20,0.01276185324,0.08973183470215455      0.2078649854394655
-1.09E-19,0.01276159171,0.08972988917222825      0.20789516601303784
-4.34E-19,0.01318940829,0.08435660583786053      0.5804010886057557
0,0.01138130935,0.0794617240586771       0.477409289615243
0,0.01699037699,0.09464658061704961      1.2137603071981156
-4.34E-19,0.01517458124,0.08973086202933855      0.7997360362533613
-2.08E-19,1.71E-06,0.0794617240586771       0.2727265664600277
