x,y,z,,VectorX,VectorY,VectorZ
-0.01666666667,,-0.003333333333,0.01666666667,4.934029889,-7.854363509,-4.059850886
-0.01,,-0.01,0.02777777778,-2.129781936,-7.677040131,-5.754026908
-0.01666666667,,-0.003333333333,0.02777777778,9.141925759,-15.28752006,-20.01262835
-0.003333333333,,-0.01666666667,0.005555555556,-47.8703161,11.92402543,-5.618098082
-0.01,,-0.01,0.005555555556,87.79863638,-82.77503961,3.874539812
-0.01666666667,,-0.003333333333,0.005555555556,-18.75914178,42.73446321,11.89292658
-0.003333333333,,-0.01666666667,0.01666666667,27.26143874,-10.81568043,1.214531617
-0.01,,-0.01,0.01666666667,49.65232882,-4.810413179,-50.20960738
-0.003333333333,,-0.01666666667,0.02777777778,5.66699951,-9.428681504,8.047157981
-0.003333333333,,-0.01666666667,0.03888888889,1.465292296,2.846869652,-0.1874637909
-0.01,,-0.01,0.03888888889,-4.049409874,7.890192285,-4.139442418
-0.01666666667,,-0.003333333333,0.03888888889,-4.458824284,14.41985681,-0.985994774
-0.01,,-0.01,0.05,-0.7660036242,1.530503916,-2.018106749
-0.01666666667,,-0.003333333333,0.05,-2.097298676,5.948236782,-0.8068196738
-0.01,,-0.01,0.06111111111,0.8696634789,-0.8959949961,0.1032289202
-0.01666666667,,-0.003333333333,0.06111111111,-0.6514550899,0.6777135809,-0.6276445735
-0.01666666667,,-0.003333333333,0.07222222222,-0.1212935258,-1.391712793,-0.4484694733
-0.01666666667,,-0.003333333333,0.08333333333,-0.5068139837,-0.260042339,-0.269294373
-0.003333333333,,-0.01666666667,0.05,-1.705122465,0.7986067114,-0.7147396103
-0.003333333333,,-0.01666666667,0.06111111111,-0.649693491,-0.3210855146,-0.433111127
-0.003333333333,,-0.01666666667,0.07222222222,-2.04E-04,-0.7598038837,-0.1514826436
-0.01,,-0.01,0.07222222222,-1.248684468,0.3495563233,0.5177727456
-0.003333333333,,-0.01666666667,0.08333333333,0.2433445966,-0.517548396,0.1301458397
-0.01,,-0.01,0.08333333333,-0.5120596288,0.1338358879,0.4824733563
-0.003333333333,,-0.01666666667,0.09444444444,0.08095370969,0.4056809486,0.411774323
-0.01,,-0.01,0.09444444444,-0.0932767194,0.5109870126,0.4471739669
-0.01666666667,,-0.003333333333,0.09444444444,3.027164776,1.391751145,1.373203635
-0.01666666667,,-0.003333333333,0.1166666667,0.221665354,-0.1589535043,-0.0330629097
-0.01666666667,,-0.003333333333,0.1277777778,0.1117653881,-0.03773150145,-0.06239441024
-0.01,,-0.01,0.1388888889,-0.01540741086,-0.1103039086,-0.006786564356
-0.01666666667,,-0.003333333333,0.1388888889,0.03218280793,0.04031708237,-0.09172591078
-0.01,,-0.01,0.15,-0.05984610395,-0.002317514521,-0.06455902843
-0.01666666667,,-0.003333333333,0.15,-0.01708238636,0.07519224719,-0.1210574113
-0.003333333333,,-0.01666666667,0.1611111111,-0.06915083675,0.05650186535,0.01361092335
-0.01,,-0.01,0.1611111111,-0.06984942392,0.05837723717,-0.1223314925
-0.01666666667,,-0.003333333333,0.1611111111,-0.03603019482,0.06689399303,-0.1503889119
-0.003333333333,,-0.01666666667,0.1055555556,-0.2823365828,-0.09051272213,0.04671729354
-0.01,,-0.01,0.1055555556,-0.2538511838,0.2983909293,0.003326963731
-0.01666666667,,-0.003333333333,0.1055555556,-0.8089789686,0.2334975504,0.3770782201
-0.003333333333,,-0.01666666667,0.1166666667,-0.06408762138,-0.05186734958,0.040908467
-0.01,,-0.01,0.1166666667,0.1083496373,0.01673786747,-0.04962080703
-0.003333333333,,-0.01666666667,0.1277777778,0.0680880859,-0.02924844814,0.03509964047
